,Days_Shifted,Correlation_Coefficient
994,394,-0.3781016103219977
993,393,-0.378092507478045
991,391,-0.37808944750465184
992,392,-0.3780610829981622
995,395,-0.378046233289989
990,390,-0.3780430873481267
996,396,-0.3780054218483693
985,385,-0.37797102730433524
989,389,-0.37795900351435185
997,397,-0.37795735068117187
986,386,-0.37795701342960986
987,387,-0.377929152138311
988,388,-0.3779041655518011
984,384,-0.37790234779392406
998,398,-0.37789648501243206
983,383,-0.377860350134253
982,382,-0.3778268720045225
981,381,-0.3778220281119111
999,399,-0.3778061289664662
980,380,-0.37775194822509617
1000,400,-0.37765671422714847
979,379,-0.3776367611825792
978,378,-0.37756700608955424
977,377,-0.3774157735400496
1001,401,-0.37737021000978466
976,376,-0.3772788395775869
975,375,-0.3771697216925675
1002,402,-0.3770624046806404
974,374,-0.37704223295012235
973,373,-0.37693979616119055
972,372,-0.37688761476384475
971,371,-0.37686159159752536
1003,403,-0.376822939439046
970,370,-0.376795262170069
969,369,-0.3766943406511216
968,368,-0.37665208933186817
1004,404,-0.37664587947267864
967,367,-0.37654829697548275
1005,405,-0.37646830293757483
966,366,-0.3764180443565126
1006,406,-0.37630425032609727
965,365,-0.37627714456370037
1007,407,-0.37616391185149844
964,364,-0.3761157586554033
1008,408,-0.37607510901026614
1009,409,-0.37598938321630815
963,363,-0.3759383877433852
1010,410,-0.37584293698247917
962,362,-0.37574213574342
1011,411,-0.3757192780642889
961,361,-0.3755198167159767
1012,412,-0.37547768212452864
960,360,-0.37520084976760015
1013,413,-0.3751747685756006
1014,414,-0.37498083950439226
959,359,-0.37492765141530954
1015,415,-0.37477768502382125
1016,416,-0.3746083160664761
958,358,-0.3745473707050783
1017,417,-0.37443626550830167
1018,418,-0.37420147369522
957,357,-0.3740888202088346
1019,419,-0.373916713363413
956,356,-0.3737171487742835
1020,420,-0.37369575839278185
1021,421,-0.37349877271969845
1022,422,-0.37335167537393527
955,355,-0.3733422978299712
1023,423,-0.373233203256746
1024,424,-0.3730639083884909
1025,425,-0.37296053379951916
954,354,-0.37293077202145725
1026,426,-0.37288264428516277
1027,427,-0.37275018904707147
1028,428,-0.37258341499003744
953,353,-0.37251573234999613
1029,429,-0.3723618575935692
952,352,-0.37212977490606414
1030,430,-0.37211408669126256
1031,431,-0.3718685792162868
951,351,-0.37176392295110144
1032,432,-0.3716673130918854
950,350,-0.37140578424688236
1033,433,-0.37130619584604946
949,349,-0.37108523629091966
1034,434,-0.37094243741827954
1035,435,-0.3707418809682272
948,348,-0.3707167913410302
1036,436,-0.3705809833085569
1037,437,-0.3704209143291889
947,347,-0.3703986756300716
1038,438,-0.3702728525164349
946,346,-0.37013642425145904
1039,439,-0.37010435093630806
945,345,-0.3700059412644053
944,344,-0.3698590953280729
1040,440,-0.3698413897602675
943,343,-0.3698080495044922
942,342,-0.3696892699992754
1041,441,-0.36958452191266594
941,341,-0.3695655329329438
940,340,-0.3693776767736026
1042,442,-0.3693207324611513
939,339,-0.36914261858559577
1043,443,-0.36912025734454673
938,338,-0.36887062599645287
1044,444,-0.3688617225705037
1045,445,-0.3686348655557875
937,337,-0.36862577930234824
936,336,-0.3684554769599521
1046,446,-0.3683911817890807
935,335,-0.3683141821139828
1047,447,-0.3682033544624556
934,334,-0.3680847042838388
1048,448,-0.3679621609374012
933,333,-0.36795741974062474
932,332,-0.3678205748539547
1049,449,-0.3677123718030147
931,331,-0.36761102333132817
1050,450,-0.3674687570648119
930,330,-0.3674323419762063
929,329,-0.3673252052473554
1051,451,-0.3672737831219352
928,328,-0.36722584590097396
927,327,-0.36716474175482616
1052,452,-0.3670345751956737
926,326,-0.36701338777316966
925,325,-0.36688201307765206
1053,453,-0.3668397413445622
924,324,-0.3668236600562042
922,322,-0.36675388589711555
923,323,-0.36674866270599277
921,321,-0.3666886619346696
1054,454,-0.3666679791484982
920,320,-0.36658041469048225
919,319,-0.36653052376663264
918,318,-0.3664423176342105
1055,455,-0.36634208808812047
917,317,-0.366320511520518
916,316,-0.36620549122277735
915,315,-0.3660740065329692
1056,456,-0.3660282002107096
914,314,-0.3659861023163665
913,313,-0.3659305811628763
912,312,-0.365887285615841
903,303,-0.365881934592618
906,306,-0.3658787679729563
907,307,-0.36585929816789825
904,304,-0.3658498191075618
911,311,-0.36584838243116613
