,Days_Shifted,Correlation_Coefficient
1051,451,-0.7393617963654859
171,-429,-0.5683127330740196
175,-425,-0.5211780018300674
209,-391,-0.49989531556836114
172,-428,-0.4849138171691263
210,-390,-0.48175041799184287
208,-392,-0.4683286588297378
1038,438,-0.4666868961959219
1050,450,-0.4631470983959009
149,-451,-0.45657090333275757
1045,445,-0.4219294560909249
1040,440,-0.41755748819228505
173,-427,-0.39322937633120414
211,-389,-0.3685917949721068
1039,439,-0.3627822777077084
203,-397,-0.36002263949231866
1046,446,-0.340151348379907
207,-393,-0.33701307492582766
202,-398,-0.33324446203317626
1028,428,-0.33170850867438856
1049,449,-0.30378619611967345
236,-364,-0.2976818310288634
174,-426,-0.29250370456017827
1012,412,-0.27935868670087644
234,-366,-0.2779397354408435
206,-394,-0.2767252362405352
212,-388,-0.2725466509945148
235,-365,-0.2707174646482561
170,-430,-0.26960075453040727
295,-305,-0.2686564410121768
296,-304,-0.2593432525385192
268,-332,-0.2534650481890369
875,275,-0.24869266405761487
233,-367,-0.2355304554382194
205,-395,-0.2340748746009293
237,-363,-0.23112046575201053
911,311,-0.22737797722636577
1000,400,-0.22659488939975883
267,-333,-0.2190859324788434
204,-396,-0.21892473997413328
297,-303,-0.21840729120595828
269,-331,-0.2165143424485338
329,-271,-0.2142539382979185
558,-42,-0.21314854435504796
294,-306,-0.20881354349377038
201,-399,-0.2054062777662973
557,-43,-0.20473994139714513
238,-362,-0.20255008845641045
292,-308,-0.20198226099562772
1027,427,-0.19981587343092794
591,-9,-0.19899956708059574
328,-272,-0.1957057162175411
590,-10,-0.1934973964214335
559,-41,-0.19253352531241513
266,-334,-0.19065791615401226
1011,411,-0.1905030761380849
556,-44,-0.18603596856316776
909,309,-0.18254539290285152
969,369,-0.17902622451064465
1031,431,-0.17800005664377894
999,399,-0.1769534796152086
169,-431,-0.17660873022225354
200,-400,-0.17599786119645144
592,-8,-0.1730669901789953
910,310,-0.17209102167534351
293,-307,-0.17182943688657254
967,367,-0.1717901376266122
176,-424,-0.16960871289988383
330,-270,-0.16822108114682305
973,373,-0.16650749045411864
555,-45,-0.16638942179301536
232,-368,-0.16430373430597003
876,276,-0.16050648766860612
177,-423,-0.1594121897343855
554,-46,-0.1591234747125549
553,-47,-0.15906306232024991
1030,430,-0.15665575982233523
589,-11,-0.15587664865195175
552,-48,-0.15481940937608007
560,-40,-0.1522837703362022
387,-213,-0.15017833741714312
291,-309,-0.1499837852478542
298,-302,-0.14896911665936047
327,-273,-0.14774082615076664
930,330,-0.14594600638921795
786,186,-0.14504598208976782
344,-256,-0.1450411981781406
791,191,-0.1449664103454835
551,-49,-0.14462691462107857
331,-269,-0.14456763197470518
332,-268,-0.14326066114067706
239,-361,-0.14165242947128331
593,-7,-0.14037809105223173
877,277,-0.1389574696472221
588,-12,-0.13857331887099406
199,-401,-0.1381945426868395
270,-330,-0.1379454742373199
787,187,-0.13641270207233408
390,-210,-0.13586014121324635
213,-387,-0.13531038630110645
334,-266,-0.13503184313119673
906,306,-0.13431011558058192
785,185,-0.13311810240435795
790,190,-0.1323997971912136
340,-260,-0.13163007285504016
388,-212,-0.1315326144614366
