,Days_Shifted,Correlation_Coefficient
993,393,-1.0
992,392,-0.9195211890257189
208,-392,-0.7514860721733025
985,385,-0.5148500765446404
984,384,-0.5074917549520915
264,-336,-0.49606600764030523
263,-337,-0.48787324565221446
262,-338,-0.474040366168603
250,-350,-0.44963697914544404
261,-339,-0.42821081839442215
251,-349,-0.4193794702898749
982,382,-0.4188319910377801
917,317,-0.4018967630436571
916,316,-0.40172091010300603
252,-348,-0.3847792574597706
915,315,-0.37742107944755826
914,314,-0.369380150031947
259,-341,-0.3652011859991702
249,-351,-0.35801577516505473
913,313,-0.3540136985178359
282,-318,-0.3437157130201925
791,191,-0.343355582531081
260,-340,-0.3414602499829181
905,305,-0.3412065531472122
902,302,-0.340690854446826
792,192,-0.3400380918644302
285,-315,-0.3377025857005527
790,190,-0.32910325898859033
258,-342,-0.32833540572026537
918,318,-0.3275262451164285
280,-320,-0.32729808207098565
283,-317,-0.32722853256920265
770,170,-0.3270305561798372
281,-319,-0.32690080657783127
789,189,-0.3227327279979555
912,312,-0.3217689092437597
772,172,-0.3194456645057782
771,171,-0.31786934473950046
769,169,-0.3172322726098911
903,303,-0.31491779972589484
788,188,-0.31250113365060495
257,-343,-0.307435425978029
904,304,-0.30465568107959623
793,193,-0.3030828738608037
284,-316,-0.30121911013978137
908,308,-0.297802842609029
983,383,-0.2964587936010116
787,187,-0.29517514328160604
774,174,-0.2939197335893626
775,175,-0.2933072259899111
773,173,-0.29203751909663794
248,-352,-0.29120640347237364
906,306,-0.2901553977427374
909,309,-0.2877292145312421
265,-335,-0.28714312984230833
286,-314,-0.2801995229576426
287,-313,-0.27467344510740904
786,186,-0.273422101921035
569,-31,-0.27219271272200396
901,301,-0.271296439229661
366,-234,-0.269682742782669
768,168,-0.26815828899244615
278,-322,-0.2667747263353488
776,176,-0.2667165612638759
279,-321,-0.26636445577668255
568,-32,-0.2655224259014492
907,307,-0.26395262460002505
571,-29,-0.26352597354769447
288,-312,-0.26096065640821153
570,-30,-0.26004915358250996
566,-34,-0.2582604157338926
567,-33,-0.25586046393113887
911,311,-0.2555097344923919
572,-28,-0.2550070535030606
910,310,-0.24929873015633025
565,-35,-0.24809238385683086
253,-347,-0.24729734905708764
794,194,-0.24716776876117663
785,185,-0.24364490939852962
573,-27,-0.240823489854176
365,-235,-0.2390960799817519
216,-384,-0.23564279565990634
564,-36,-0.23129204432689088
247,-353,-0.22747238009760085
919,319,-0.22740712147335534
367,-233,-0.22578091674423184
221,-379,-0.21846589858079993
550,-50,-0.21316070821389368
549,-51,-0.21311451340422563
784,184,-0.21286796007450165
767,167,-0.2126018043544985
920,320,-0.2123159532865091
563,-37,-0.21030748219739745
364,-236,-0.20977268701190158
777,177,-0.2092235439574655
981,381,-0.2092046602165048
574,-26,-0.20918162055036876
795,195,-0.2066892178126768
337,-263,-0.20638385218429775
277,-323,-0.20612979432593367
766,166,-0.20392075136326238
336,-264,-0.20309624505081272
900,300,-0.201120307382566
551,-49,-0.19999774867202477
922,322,-0.1992371697885297
289,-311,-0.19923241098465627
988,388,-0.19888978558075468
562,-38,-0.19801405771317165
548,-52,-0.19646492881364708
465,-135,-0.19600018498112481
925,325,-0.19035808652566713
921,321,-0.19027782211484412
475,-125,-0.18903674402425222
368,-232,-0.18863536055443933
547,-53,-0.18841044266422094
363,-237,-0.18782340818791038
561,-39,-0.18719191335907082
335,-265,-0.18687611957419217
899,299,-0.18574807860038617
552,-48,-0.18267222301464572
464,-136,-0.18258363931098795
474,-126,-0.1820440202706344
476,-124,-0.18006916390724356
695,95,-0.17836483291927555
338,-262,-0.17795107984255112
546,-54,-0.17499350251605217
473,-127,-0.17319785574471436
466,-134,-0.17282607116554802
254,-346,-0.17248784719653895
560,-40,-0.1717818204704193
575,-25,-0.17106629266811796
765,165,-0.17057080807486233
556,-44,-0.17023569131632024
308,-292,-0.16890488630692477
559,-41,-0.16811875476374413
696,96,-0.16794210545314706
778,178,-0.16771102502612376
987,387,-0.16758547676324537
276,-324,-0.16660268673390807
362,-238,-0.16633816870461754
923,323,-0.16553694589912768
290,-310,-0.16541590058097105
463,-137,-0.16539354436653753
783,183,-0.16519335400207033
307,-293,-0.16489940138805873
222,-378,-0.16412520227846616
558,-42,-0.16351559809096275
926,326,-0.16343674395885907
896,296,-0.16307956144716565
897,297,-0.16281745195258449
553,-47,-0.16162210012668052
697,97,-0.16156078609963362
694,94,-0.16143446242732618
266,-334,-0.16000837975699972
893,293,-0.15910182139675477
555,-45,-0.15882798438252568
698,98,-0.15822782643333555
898,298,-0.15741666808526822
470,-130,-0.1571850891855164
924,324,-0.15689358025733102
472,-128,-0.15601891359250178
557,-43,-0.15586750767102533
545,-55,-0.15578373800622763
