,Days_Shifted,Correlation_Coefficient
591,-9,-0.6759387574086189
590,-10,-0.6745885295248744
592,-8,-0.6734696768612645
589,-11,-0.6685716313022809
588,-12,-0.6659448480937005
1184,584,-0.6657470570035338
585,-15,-0.6629613589869263
587,-13,-0.661852750262324
586,-14,-0.6617175184866548
593,-7,-0.661405407807251
584,-16,-0.6613240059395479
583,-17,-0.6589076697789344
582,-18,-0.653244271579894
594,-6,-0.6487795265337751
581,-19,-0.6469187904486065
1185,585,-0.6417333017765781
580,-20,-0.6413049033256203
595,-5,-0.6365221467238478
579,-21,-0.6315178031856178
596,-4,-0.6272434342804649
60,-540,-0.6232687113410451
597,-3,-0.6217130889254305
913,313,-0.6213347738438796
912,312,-0.6198578451078859
578,-22,-0.6184337593809928
911,311,-0.6168560475738056
1183,583,-0.6165214572467823
910,310,-0.6151053651977387
598,-2,-0.6145463127277871
914,314,-0.6132771525729838
909,309,-0.6111764034807293
61,-539,-0.6107758843222006
944,344,-0.6082747995905345
908,308,-0.6065483551241212
915,315,-0.6063373002793319
943,343,-0.6057240014064523
937,337,-0.605427622141924
599,-1,-0.6053482758207174
938,338,-0.6048765576799762
936,336,-0.6029494071166909
1186,586,-0.6029454006869533
577,-23,-0.6023114602828408
942,342,-0.6014850224519617
945,345,-0.6012124768890645
907,307,-0.6002095600357334
939,339,-0.5986719110565597
935,335,-0.5947623133642803
916,316,-0.5934835138318184
941,341,-0.5926384788458944
244,-356,-0.5915501894012866
940,340,-0.5902951927985067
934,334,-0.5898355882872436
245,-355,-0.5876152238604866
906,306,-0.5869888875436746
933,333,-0.5857809954197374
576,-24,-0.5856830412635524
917,317,-0.5843305948403592
946,346,-0.5830594126742639
932,332,-0.582865013982365
59,-541,-0.5816909443529883
926,326,-0.5801736828119171
925,325,-0.579806277869237
600,0,-0.5797104156752907
243,-357,-0.5785521073036226
927,327,-0.5785258498201489
918,318,-0.5782810648149957
931,331,-0.5766452071662634
1176,576,-0.576157221692058
928,328,-0.5758524032952526
924,324,-0.5744075183235055
919,319,-0.5734644184663902
929,329,-0.5724741460962325
930,330,-0.5717168074792808
246,-354,-0.5705658169092108
920,320,-0.5701719838009047
923,323,-0.56959692377759
922,322,-0.5694287075295935
905,305,-0.5691098509130211
575,-25,-0.5684915910703535
921,321,-0.5677015677221338
242,-358,-0.5676919372866206
947,347,-0.5657917441527496
1177,577,-0.5635763413592694
241,-359,-0.5571372422444101
948,348,-0.5553878126756974
574,-26,-0.5546229851023917
62,-538,-0.5544585133325425
904,304,-0.5478591355779764
573,-27,-0.5461865717976306
949,349,-0.5452797791073155
240,-360,-0.5445379527594905
236,-364,-0.5443874766461659
229,-371,-0.5439631748376026
1187,587,-0.5434418625518731
235,-365,-0.5430946884279766
228,-372,-0.5426793136593406
238,-362,-0.5424101853285751
237,-363,-0.5405633023791264
239,-361,-0.5404288807279347
230,-370,-0.5401096164695705
1175,575,-0.5399497198140707
234,-366,-0.5391240464524116
231,-369,-0.5371075776644049
232,-368,-0.5369470031523395
247,-353,-0.5362326359197306
572,-28,-0.5358663037298621
227,-373,-0.535626530741043
950,350,-0.5349987686424732
601,1,-0.5347865718490072
233,-367,-0.5318294384890799
951,351,-0.5303503288265482
903,303,-0.5275798845124668
952,352,-0.5261864934798919
226,-374,-0.524045061657436
571,-29,-0.5237952556933686
211,-389,-0.5163193735908693
953,353,-0.5161149254199595
210,-390,-0.5159075325027698
225,-375,-0.5098514634707701
570,-30,-0.509029451697849
224,-376,-0.5090193006407807
63,-537,-0.5072696358934994
209,-391,-0.5053967871628398
902,302,-0.5049330740426288
954,354,-0.5033860471671179
223,-377,-0.5032967924612597
1194,594,-0.5019845398035775
212,-388,-0.5014101300745262
248,-352,-0.5003568503084813
569,-31,-0.4987610352930554
77,-523,-0.4985285209706104
222,-378,-0.4965143204896028
208,-392,-0.49630089338798367
1178,578,-0.49387311044834603
58,-542,-0.49193780008850546
213,-387,-0.4898082924446106
602,2,-0.48965981982365836
568,-32,-0.4888677181705582
1195,595,-0.48532532718983
221,-379,-0.4847449282073807
901,301,-0.48448336241206386
207,-393,-0.4843800791563241
955,355,-0.48400249694117814
214,-386,-0.4831552281960266
567,-33,-0.48206646797615876
75,-525,-0.4814956812479552
76,-524,-0.48131935913051943
216,-384,-0.48034958013588264
215,-385,-0.4798551924577389
206,-394,-0.4771035660122733
220,-380,-0.47490073917647885
1182,582,-0.4747466331695983
219,-381,-0.47451186620678654
217,-383,-0.47432241084072824
218,-382,-0.47388034001049034
74,-526,-0.4734860039702622
566,-34,-0.47100222290082344
205,-395,-0.46855521766427005
1179,579,-0.46305635003152684
900,300,-0.4624745516816037
956,356,-0.46114583917078394
249,-351,-0.46079096247894685
204,-396,-0.45818948597802917
565,-35,-0.45753851878932733
603,3,-0.45549281155704496
203,-397,-0.452075667760329
0,-600,-0.45056772978317483
64,-536,-0.448049596641449
202,-398,-0.44752714628712503
1174,574,-0.4463611978877187
564,-36,-0.44360193641322265
201,-399,-0.4405435194998975
957,357,-0.4397073145806496
1180,580,-0.4385876991317124
899,299,-0.43776143445647014
78,-522,-0.43319791084386056
200,-400,-0.4331957660874322
563,-37,-0.4287385877011361
604,4,-0.42333514711928133
199,-401,-0.42230462402950014
73,-527,-0.4199252797303098
250,-350,-0.41935339054202986
1193,593,-0.4189035092843013
958,358,-0.418879527552451
898,298,-0.41826580509214006
79,-521,-0.41421882956039885
562,-38,-0.41355636539478985
1122,522,-0.4121664071314101
3,-597,-0.4110418112331365
1119,519,-0.40907131030174226
959,359,-0.40905003607792023
1181,581,-0.40796534307266896
1121,521,-0.40581198311746813
1123,523,-0.4057336718574943
198,-402,-0.4021909258754506
897,297,-0.4020362337019323
1118,518,-0.401653874074189
960,360,-0.40141041480012835
1188,588,-0.3998692603796674
561,-39,-0.397883559862638
1120,520,-0.3953557093427765
961,361,-0.39509468042584545
605,5,-0.39500767633027983
962,362,-0.3930829006743851
197,-403,-0.39015056102003837
896,296,-0.3890078115432805
560,-40,-0.3830641047709391
251,-349,-0.38062858677296263
963,363,-0.37788575334618413
606,6,-0.37616304181015053
1124,524,-0.3755038823202217
252,-348,-0.37427637530999724
895,295,-0.3730736930188249
559,-41,-0.3711691083226052
196,-404,-0.37032333968133674
558,-42,-0.36239935893201874
57,-543,-0.36174599279607744
607,7,-0.3612853369614488
253,-347,-0.35873136593392874
964,364,-0.35853723752440625
1117,517,-0.35740298767734424
1125,525,-0.35650117323108077
1,-599,-0.35423159508641633
894,294,-0.3536910720335804
557,-43,-0.35052441745343393
65,-535,-0.35001629784262284
80,-520,-0.3473740123835596
195,-405,-0.3445407554107041
608,8,-0.3426137538690804
1126,526,-0.34239563275535106
556,-44,-0.3383705475561162
965,365,-0.33818494146465977
72,-528,-0.3381504402759241
254,-346,-0.33776540800238974
893,293,-0.3371875476447543
1196,596,-0.3356775322335895
609,9,-0.32512731999705896
555,-45,-0.3239648557619788
892,292,-0.3239607274482725
1127,527,-0.32373825171662207
56,-544,-0.32269121502190173
255,-345,-0.32043334309427995
194,-406,-0.3195842834593442
1116,516,-0.31914837244179023
966,366,-0.31787598887454516
15,-585,-0.31524615421382585
1135,535,-0.31522950071286143
1173,573,-0.3136834203774142
256,-344,-0.31102018116956953
891,291,-0.30991721674200934
554,-46,-0.30642667509753924
1128,528,-0.30451076380070025
1134,534,-0.3040242688671163
610,10,-0.3026067909818159
967,367,-0.3013482278156071
257,-343,-0.30098692593297416
193,-407,-0.3008316449563597
1133,533,-0.3003393625544558
1136,536,-0.29883365168958953
890,290,-0.2982542535414474
258,-342,-0.29816460058623107
259,-341,-0.2912254782899905
968,368,-0.28967410716536385
2,-598,-0.2883954246931552
55,-545,-0.2881737978476268
553,-47,-0.2870677770254294
889,289,-0.28603024097681906
192,-408,-0.28032932894917273
969,369,-0.28029574344213426
66,-534,-0.27865821111236355
611,11,-0.27474519643647266
970,370,-0.2742042451556536
1189,589,-0.2738601000993174
888,288,-0.27382192755980905
552,-48,-0.2727907504440655
1129,529,-0.2725203596078741
1132,532,-0.26941191205072557
260,-340,-0.2665550597422355
54,-546,-0.2634219702841881
971,371,-0.26239918098163006
191,-409,-0.2594634947492815
887,287,-0.2575672255706041
1192,592,-0.25746431925431307
1137,537,-0.2569117712688691
1138,538,-0.2559760722011525
551,-49,-0.25411636328785836
4,-596,-0.25314437664725076
612,12,-0.2514666237707665
1130,530,-0.2498081817278099
972,372,-0.24910311032311294
886,286,-0.2431036934882201
1131,531,-0.2419341387350944
1115,515,-0.2404067215665855
190,-410,-0.24038404646066186
67,-533,-0.23978483685046528
261,-339,-0.23927385695549405
71,-529,-0.2387909326675091
550,-50,-0.23510609602834318
613,13,-0.23329822779779325
1139,539,-0.2322146768309202
973,373,-0.23098129933855588
885,285,-0.22969971261405417
81,-519,-0.22943718090860496
16,-584,-0.22796368516151153
1190,590,-0.22300098840493113
189,-411,-0.21784507400916775
14,-586,-0.21689852186391761
