,Days_Shifted,Correlation_Coefficient
0,-300,-0.023902820432573815
1,-299,-0.024563928364304873
2,-298,-0.02510452100096809
3,-297,-0.025644015353246938
4,-296,-0.02617879609019828
5,-295,-0.026801792426979824
6,-294,-0.02751445661034912
7,-293,-0.028207007232879177
8,-292,-0.02896468141617031
9,-291,-0.029667460932284315
10,-290,-0.030421507242242015
11,-289,-0.0310766693958657
12,-288,-0.03170898498486825
13,-287,-0.0323380637154196
14,-286,-0.032947489335302296
15,-285,-0.03354576208215651
16,-284,-0.03418933059851812
17,-283,-0.03491348864620083
18,-282,-0.03561418619194632
19,-281,-0.03633941724343388
20,-280,-0.03700794268576883
21,-279,-0.037710788957593167
22,-278,-0.03835065255678039
23,-277,-0.038978863120828884
24,-276,-0.03973930146541805
25,-275,-0.040437369107512666
26,-274,-0.041057190561012515
27,-273,-0.04171830969580157
28,-272,-0.042434336629788356
29,-271,-0.04304180718546545
30,-270,-0.04369916507216466
31,-269,-0.04441157254724958
32,-268,-0.04509324317444628
33,-267,-0.0458498469123383
34,-266,-0.04657278298544956
35,-265,-0.047232915622353565
36,-264,-0.047906944563817624
37,-263,-0.04850523678807831
38,-262,-0.04913683868575285
39,-261,-0.04971510051498058
40,-260,-0.05025730205618386
41,-259,-0.05075906897837354
42,-258,-0.05121319304249289
43,-257,-0.05167983828334773
44,-256,-0.052069041068492805
45,-255,-0.05240445594512958
46,-254,-0.052776023285263055
47,-253,-0.053213979406330755
48,-252,-0.05370865769306744
49,-251,-0.05420713694239819
50,-250,-0.05466552339383971
51,-249,-0.0547533927856753
52,-248,-0.05499457079871075
53,-247,-0.055348189951289074
54,-246,-0.0558201490731534
55,-245,-0.05632299496257801
56,-244,-0.05691213218798182
57,-243,-0.057431228068770615
58,-242,-0.05791064642298513
59,-241,-0.05843893975534102
60,-240,-0.05876959852633104
61,-239,-0.058947011621099825
62,-238,-0.05912258353433703
63,-237,-0.05932080507531537
64,-236,-0.05952344230881913
65,-235,-0.05973302023916745
66,-234,-0.0598756421473375
67,-233,-0.060117523022561827
68,-232,-0.06032160197418043
69,-231,-0.060565814221288365
70,-230,-0.060805760143885904
71,-229,-0.061057720710975406
72,-228,-0.06134015219152696
73,-227,-0.06178077282356126
74,-226,-0.06241248777413657
75,-225,-0.06283023930483868
76,-224,-0.0633340571864127
77,-223,-0.06383729186084636
78,-222,-0.06430861274660547
79,-221,-0.06468063455640226
80,-220,-0.06510456489969153
81,-219,-0.06558663946101066
82,-218,-0.06604719892007181
83,-217,-0.06651319374774696
84,-216,-0.06704130174130954
85,-215,-0.06762368621708482
86,-214,-0.06810927951989675
87,-213,-0.06851033068814576
88,-212,-0.06893174359200845
89,-211,-0.0693765221717027
90,-210,-0.06981954152273628
91,-209,-0.07035124650294267
92,-208,-0.07089119167159116
93,-207,-0.07137073401570004
94,-206,-0.0718387493747917
95,-205,-0.07226251279101585
96,-204,-0.07271155649094915
97,-203,-0.07312126366451342
98,-202,-0.07355794253916206
99,-201,-0.07393745327883629
100,-200,-0.07431794807208135
101,-199,-0.07463095964404022
102,-198,-0.07498372290353653
103,-197,-0.07533321466644373
104,-196,-0.0757893264563252
105,-195,-0.0762201101565968
106,-194,-0.07667139379127108
107,-193,-0.07717140246586127
108,-192,-0.07764365284266006
109,-191,-0.07813760043750709
110,-190,-0.07860542039587258
111,-189,-0.07917072234906679
112,-188,-0.07970013891515564
113,-187,-0.08024770592826276
114,-186,-0.08077612451801285
115,-185,-0.08132235050645023
116,-184,-0.0818075513500404
117,-183,-0.08234639638150101
118,-182,-0.08275787453533594
119,-181,-0.0830701883264466
120,-180,-0.08335417027712343
121,-179,-0.08368580402192989
122,-178,-0.0841381443420405
123,-177,-0.0845458316186184
124,-176,-0.08493373526553338
125,-175,-0.08531832974452908
126,-174,-0.0857028933464816
127,-173,-0.08611968602058942
128,-172,-0.08655475642410032
129,-171,-0.08696614583181407
130,-170,-0.0873286501551546
131,-169,-0.08765808995009032
132,-168,-0.0879411630479287
133,-167,-0.0881842812795398
134,-166,-0.08838662097047689
135,-165,-0.08855840704488507
136,-164,-0.08868858487820687
137,-163,-0.0887828946361245
138,-162,-0.0887395898013148
139,-161,-0.08871705866948801
140,-160,-0.08867681683844202
141,-159,-0.08861234713040499
142,-158,-0.08862677399234399
143,-157,-0.08868521521758405
144,-156,-0.08874821503311253
145,-155,-0.08882113930755299
146,-154,-0.08892664454770034
147,-153,-0.08895738428737292
148,-152,-0.0889908495816833
149,-151,-0.08901276766592875
150,-150,-0.08906240965569484
151,-149,-0.08905671185947424
152,-148,-0.0890089922936031
153,-147,-0.0889152000301999
154,-146,-0.08871998900066123
155,-145,-0.08848781888092304
156,-144,-0.08825071575583
157,-143,-0.08796975095148384
158,-142,-0.08760985228599448
159,-141,-0.08721375131736563
160,-140,-0.0868348566212104
161,-139,-0.08650371397580024
162,-138,-0.08618147951271264
163,-137,-0.08592555958807001
164,-136,-0.08580888548277288
165,-135,-0.08574157126483765
166,-134,-0.08567079813478042
167,-133,-0.08554095253067984
168,-132,-0.08538117758918236
169,-131,-0.08528807859272705
170,-130,-0.08514568196295803
171,-129,-0.08497321287321641
172,-128,-0.08484191716230799
173,-127,-0.08463439498152181
174,-126,-0.08441302601456077
175,-125,-0.08419268168556163
176,-124,-0.08390802599244102
177,-123,-0.0836137882130306
178,-122,-0.08338059613947556
179,-121,-0.08321322618065279
180,-120,-0.08304879975870658
181,-119,-0.08300340603028282
182,-118,-0.08307811795746792
183,-117,-0.08321847891328522
184,-116,-0.0833619292697218
185,-115,-0.08354562283137855
186,-114,-0.08367044723875844
187,-113,-0.08388722251087433
188,-112,-0.08412944618971023
189,-111,-0.0844025981201571
190,-110,-0.08467814479786781
191,-109,-0.08499827532967023
192,-108,-0.08533989829386122
193,-107,-0.08565344263103548
194,-106,-0.0860037060728071
195,-105,-0.08636130158342979
196,-104,-0.0867851304565862
197,-103,-0.08722564120899
198,-102,-0.08777503442394669
199,-101,-0.08830298030155732
200,-100,-0.0888293588809508
201,-99,-0.08935808962403056
202,-98,-0.0899059675397219
203,-97,-0.0904110902308166
204,-96,-0.09096839433297146
205,-95,-0.0915632359968824
206,-94,-0.0922231494541014
207,-93,-0.09286111011144163
208,-92,-0.09347322883815204
209,-91,-0.09402627059743221
210,-90,-0.09438557724879182
211,-89,-0.09469993876724897
212,-88,-0.09514174262342091
213,-87,-0.09556714552588169
214,-86,-0.0960956689200105
215,-85,-0.0966434988478672
216,-84,-0.09710610880670292
217,-83,-0.09750723097375727
218,-82,-0.09792809423687085
219,-81,-0.09839078503639646
220,-80,-0.09881460095521782
221,-79,-0.09927898882570176
222,-78,-0.09978899383685222
223,-77,-0.10026725501183319
224,-76,-0.10064925862800632
225,-75,-0.10100600546610582
226,-74,-0.10137015507652332
227,-73,-0.10172487327249344
228,-72,-0.102119205474697
229,-71,-0.10239659286248687
230,-70,-0.10258679001352405
231,-69,-0.10275228373443915
232,-68,-0.10290962179713271
233,-67,-0.10307915940647552
234,-66,-0.10334098546082204
235,-65,-0.10353561050049279
236,-64,-0.10375404222943845
237,-63,-0.10394953996669683
238,-62,-0.10414452683524254
239,-61,-0.10426304842522534
240,-60,-0.10456226546381521
241,-59,-0.10476010010360289
242,-58,-0.10493920297715963
243,-57,-0.1051332138688221
244,-56,-0.10532673928826188
245,-55,-0.10548300257066441
246,-54,-0.10560506094135705
247,-53,-0.10570504128650768
248,-52,-0.10583938975152357
249,-51,-0.10595637740254409
250,-50,-0.10610254972022129
251,-49,-0.10627965636084628
252,-48,-0.10655653966517543
253,-47,-0.10694763091040073
254,-46,-0.10739957676936356
255,-45,-0.10777030686489189
256,-44,-0.10815685556701565
257,-43,-0.10849839148376492
258,-42,-0.10894817514810443
259,-41,-0.10941758833934537
260,-40,-0.10980477806517419
261,-39,-0.11017789035073787
262,-38,-0.11058161594057371
263,-37,-0.11099860750392809
264,-36,-0.11143160138190056
265,-35,-0.11188451940615295
266,-34,-0.11230013324657158
267,-33,-0.1126307275619067
268,-32,-0.11293710161316221
269,-31,-0.11324966921208512
270,-30,-0.113589152643365
271,-29,-0.11395426371763608
272,-28,-0.11426958704688212
273,-27,-0.11460240965140363
274,-26,-0.11486240960783661
275,-25,-0.1151902033802067
276,-24,-0.11552227846038778
277,-23,-0.11590973950509079
278,-22,-0.11629091225270467
279,-21,-0.11675867218454473
280,-20,-0.11722723030210745
281,-19,-0.11777585845202063
282,-18,-0.11823516285624443
283,-17,-0.11866381387654452
284,-16,-0.11911512498441708
285,-15,-0.11959872756070156
286,-14,-0.12011671008203371
287,-13,-0.12062923745367717
288,-12,-0.12117147269462178
289,-11,-0.12167338267334919
290,-10,-0.12235178741967294
291,-9,-0.12306106265394427
292,-8,-0.12384492127250873
293,-7,-0.12465948385903125
294,-6,-0.1254879574442927
295,-5,-0.12632617834089743
296,-4,-0.1271350235683991
297,-3,-0.12787403452591373
298,-2,-0.12855556371288843
299,-1,-0.12932880170294705
300,0,-0.13023352175428676
301,1,-0.13133179258115937
302,2,-0.13236391657430016
303,3,-0.13338841572601917
304,4,-0.1343626143980968
305,5,-0.13529314285544405
306,6,-0.13620012318464586
307,7,-0.13713235008118274
308,8,-0.1379995736634361
309,9,-0.13880577865179383
310,10,-0.13960310992299957
311,11,-0.14044047713379423
312,12,-0.14131680212800815
313,13,-0.1421138809621501
314,14,-0.1428901693567254
315,15,-0.14371218871087632
316,16,-0.14453490482968562
317,17,-0.14531474763180421
318,18,-0.14613362097410956
319,19,-0.1470022937378775
320,20,-0.1479117290315928
321,21,-0.14878834250116568
322,22,-0.14956749403294373
323,23,-0.15042349792518253
324,24,-0.15126057366893045
325,25,-0.15213692244828259
326,26,-0.15298045248631573
327,27,-0.1537996710629478
328,28,-0.15460965439463387
329,29,-0.155429814111441
330,30,-0.15626379389786305
331,31,-0.15712586731341605
332,32,-0.15808364088070065
333,33,-0.159061181138025
334,34,-0.1599638445582584
335,35,-0.16085442307168968
336,36,-0.1617201674213443
337,37,-0.16260180467945987
338,38,-0.16342228619802474
339,39,-0.1643119352649935
340,40,-0.16516506152721142
341,41,-0.16613034631834797
342,42,-0.16711886709720317
343,43,-0.16819400980249874
344,44,-0.16928472569628386
345,45,-0.17032694932385128
346,46,-0.1714634323762279
347,47,-0.17252737622036524
348,48,-0.17357769701677567
349,49,-0.17458775171645752
350,50,-0.17558953446882536
351,51,-0.17658598233603023
352,52,-0.17755851930612745
353,53,-0.17852097944041437
354,54,-0.17948204082240074
355,55,-0.18040284005228255
356,56,-0.18131015967799208
357,57,-0.1821663361408356
358,58,-0.18310703996840338
359,59,-0.18406598623945022
360,60,-0.18498793569340774
361,61,-0.18594247954156598
362,62,-0.1868794123708885
363,63,-0.1878152758760504
364,64,-0.18877836210359272
365,65,-0.18969638727296537
366,66,-0.19066048877479744
367,67,-0.19164100344018378
368,68,-0.19272668105726368
369,69,-0.19378482001179792
370,70,-0.19480784306044088
371,71,-0.1958508375851976
372,72,-0.19687333296566092
373,73,-0.1979243595375499
374,74,-0.19897913985537713
375,75,-0.20000445829503607
376,76,-0.20104044181940492
377,77,-0.2020997462322953
378,78,-0.20316310682451352
379,79,-0.20429662249037203
380,80,-0.20540915125450313
381,81,-0.20652087337865024
382,82,-0.20760722336940757
383,83,-0.2086653721020017
384,84,-0.20973185048683365
385,85,-0.210825244934075
386,86,-0.2119236862568705
387,87,-0.2130770578140381
388,88,-0.2141590187171115
389,89,-0.21516395283699818
390,90,-0.21625219121232955
391,91,-0.21735126904209515
392,92,-0.2185131725158668
393,93,-0.21964550006565306
394,94,-0.220752469247104
395,95,-0.22181992763647693
396,96,-0.2228825142507907
397,97,-0.22387959354469852
398,98,-0.22489857008799913
399,99,-0.22592198442063283
400,100,-0.22698274314628328
401,101,-0.22814975968330684
402,102,-0.229429774074888
403,103,-0.2306223995983217
404,104,-0.23175136179036954
405,105,-0.2329064249928064
406,106,-0.23409863970035824
407,107,-0.23528168141248432
408,108,-0.23656166297833087
409,109,-0.23788240125319293
410,110,-0.23931596613533895
411,111,-0.24070360840739613
412,112,-0.24205122951211697
413,113,-0.24334460721709228
414,114,-0.2445418016752294
415,115,-0.2457677469058417
416,116,-0.24691248188039844
417,117,-0.2481405718880437
418,118,-0.249290476838711
419,119,-0.25031552875557755
420,120,-0.2513974907948977
421,121,-0.25247232408016
422,122,-0.25358026619844115
423,123,-0.2546633436463172
424,124,-0.255706762940113
425,125,-0.2567084628940679
426,126,-0.2578121549955474
427,127,-0.2588639399589027
428,128,-0.2599289822624776
429,129,-0.26103841565222474
430,130,-0.26214945721211824
431,131,-0.263244940939485
432,132,-0.26422793100598757
433,133,-0.26523333961952966
434,134,-0.26616316318547184
435,135,-0.26706959225703736
436,136,-0.2681094677514496
437,137,-0.2690718860192124
438,138,-0.2701283919658559
439,139,-0.27117745293942264
440,140,-0.27217522781034464
441,141,-0.2731697252351127
442,142,-0.27414086723089154
443,143,-0.274989890652489
444,144,-0.27582067680038364
445,145,-0.2766496054946473
446,146,-0.2774410727177267
447,147,-0.27822513002001076
448,148,-0.27896106623901407
449,149,-0.27970594371674135
450,150,-0.2804321193539665
451,151,-0.2811989169055749
452,152,-0.2819736372055077
453,153,-0.28266636064379547
454,154,-0.2833444248253173
455,155,-0.28399866162014714
456,156,-0.28451425755894205
457,157,-0.28512397633312997
458,158,-0.28576084654255096
459,159,-0.2863238183484515
460,160,-0.286998019303713
461,161,-0.28767758694357076
462,162,-0.288334493131011
463,163,-0.28902558339924095
464,164,-0.28968233700097357
465,165,-0.29032373819853025
466,166,-0.29097751524238397
467,167,-0.2916708451783071
468,168,-0.2923570799165211
469,169,-0.29306305542763655
470,170,-0.2937936200824384
471,171,-0.2944852780866772
472,172,-0.2950779957756641
473,173,-0.29573128231517126
474,174,-0.29637321697944746
475,175,-0.29700025479851233
476,176,-0.2976669182037402
477,177,-0.2983899774005984
478,178,-0.29913812371285986
479,179,-0.29995254912180624
480,180,-0.3008245444663109
481,181,-0.30162752524330083
482,182,-0.3024282472562135
483,183,-0.30323209427948544
484,184,-0.30408639903711737
485,185,-0.3049693587276441
486,186,-0.3057803848622679
487,187,-0.30658579494594557
488,188,-0.30733454147550726
489,189,-0.3080422111416288
490,190,-0.3087485269052112
491,191,-0.3094731923625266
492,192,-0.31016558751546525
493,193,-0.3108976211339506
494,194,-0.3116488577804958
495,195,-0.3124516913731446
496,196,-0.3132865528212024
497,197,-0.3141467766721994
498,198,-0.3150011088102243
499,199,-0.31589360970089897
500,200,-0.31675476176170847
501,201,-0.31762078391180126
502,202,-0.3185215614021437
503,203,-0.3194623819487736
504,204,-0.32032259185760503
505,205,-0.32127366882558894
506,206,-0.3221593481456721
507,207,-0.32301893686534217
508,208,-0.32384884639329964
509,209,-0.3246380395877806
510,210,-0.32543631769261055
511,211,-0.3262398388981541
512,212,-0.3270137540135884
513,213,-0.3278131542449548
514,214,-0.32860983718593856
515,215,-0.32938477924633136
516,216,-0.3301769337919645
517,217,-0.33092654869314003
518,218,-0.33176815727893655
519,219,-0.33258209856313575
520,220,-0.33332328857750565
521,221,-0.33409554338011405
522,222,-0.33484431281077365
523,223,-0.33566288024923496
524,224,-0.3364412359460875
525,225,-0.3372480482435814
526,226,-0.3379847906549927
527,227,-0.3386954163348212
528,228,-0.33937128521331145
529,229,-0.34001819853724613
530,230,-0.34055821887075083
531,231,-0.3410690195344765
532,232,-0.34158510282157417
533,233,-0.34209408280615355
534,234,-0.3426395423405286
535,235,-0.3431297152824272
536,236,-0.3436471924588728
537,237,-0.34419190164773017
538,238,-0.3447376878307866
539,239,-0.34519733406439834
540,240,-0.34555855011242337
541,241,-0.34585827617961706
542,242,-0.3461384926925307
543,243,-0.34641283208363166
544,244,-0.3467419853990631
545,245,-0.34706140961378407
546,246,-0.3474090364929425
547,247,-0.34782542616122464
548,248,-0.3482777046496303
549,249,-0.34877252641969153
550,250,-0.349186205936515
551,251,-0.3496323529436438
552,252,-0.35009078596415544
553,253,-0.35051361861055885
554,254,-0.35086699558485934
555,255,-0.35120400986300854
556,256,-0.35157491136092794
557,257,-0.3519815924224691
558,258,-0.3523522521559967
559,259,-0.3527350808756793
560,260,-0.3531391647253248
561,261,-0.3535545256315663
562,262,-0.35396260671094865
563,263,-0.3544458525362993
564,264,-0.3548966075376042
565,265,-0.35523587208252005
566,266,-0.3555426307602756
567,267,-0.35585553269312153
